Bus ID,Current Stop,Next Stop,Latitude,Longitude,Passengers,Estimated Time,Date,Time
5,uni bus station,registration,35.130404,33.9179785,0,0:02:07,2025-01-11,04:04:23
5,uni bus station,registration,35.130404,33.9179785,0,0:02:07,2025-01-11,04:09:44
5,uni bus station,registration,35.130404,33.9179785,0,0:02:07,2025-01-11,04:13:49
5,uni bus station,registration,35.130404,33.9179785,0,0:02:07,2025-01-11,04:16:41
5,uni bus station,registration,35.130404,33.9179785,0,0:02:07,2025-01-11,04:18:15
5,uni bus station,registration,35.130404,33.9179785,0,0:02:07,2025-01-11,04:21:25
5,uni bus station,registration,35.130404,33.9179785,0,0:02:07,2025-01-11,04:21:55
5,uni bus station,registration,35.130404,33.9179785,0,0:02:07,2025-01-11,04:22:11
5,uni bus station,registration,35.130404,33.9179785,0,0:02:07,2025-01-11,04:22:24
5,uni bus station,registration,35.130404,33.9179785,0,0:02:07,2025-01-11,04:23:39
5,uni bus station,registration,35.130404,33.9179785,0,0:02:07,2025-01-11,04:23:52
5,uni bus station,registration,35.130404,33.9179785,0,0:02:07,2025-01-11,15:38:26
5,kaliland,Gazi,35.13030137,33.91881194,75,0:00:28,2025-01-11,15:42:34
5,kaliland,Gazi,35.13030137,33.91881194,75,0:00:28,2025-01-11,15:46:04
5,kaliland,Gazi,35.13030137,33.91881194,75,0:00:28,2025-01-11,15:47:45
5,kaliland,Gazi,35.13030137,33.91881194,75,0:00:28,2025-01-11,15:48:11
5,kaliland,Gazi,35.13030137,33.91881194,75,0:00:28,2025-01-11,15:48:32
5,kaliland,Gazi,35.13030137,33.91881194,75,0:00:28,2025-01-11,15:49:12
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,15:51:23
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,15:52:01
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,15:52:14
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,15:52:27
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,15:59:50
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,16:02:09
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,16:09:46
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,16:12:56
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,16:13:41
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,16:16:19
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,16:18:00
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,16:18:44
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,16:18:55
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,16:21:05
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,16:21:52
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,16:22:19
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,16:23:00
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,16:23:37
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,16:25:16
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,16:25:39
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,16:26:18
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,16:27:19
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,16:27:36
5,kaliland,Gazi,35.13030137,33.91881194,0,0:00:28,2025-01-11,16:31:30
5,uni bus station,registration,35.13050233333333,33.91807466666667,0,0:02:07,2025-01-11,16:37:22
5,uni bus station,registration,35.130569333333334,33.918197166666666,0,0:02:07,2025-01-11,16:47:56
5,uni bus station,registration,35.13057633333333,33.91820416666667,0,0:02:07,2025-01-11,16:47:57
5,uni bus station,registration,35.1305815,33.91820833333333,0,0:02:07,2025-01-11,16:47:59
5,uni bus station,registration,35.13057666666667,33.91820933333333,0,0:02:07,2025-01-11,16:48:01
5,uni bus station,registration,0.0,0.0,0,"5 days, 1:26:06",2025-01-11,16:49:10
5,uni bus station,registration,35.130563333333335,33.917994666666665,0,0:02:06,2025-01-11,18:00:11
5,kaliland,Gazi,35.126376,33.92514933333333,0,0:00:24,2025-01-11,18:13:16
5,kaliland,Gazi,35.12633433333333,33.92522366666667,0,0:00:25,2025-01-11,18:13:16
5,kaliland,Gazi,35.1262965,33.92529833333333,0,0:00:25,2025-01-11,18:13:18
5,kaliland,Gazi,35.1262615,33.9253595,0,0:00:26,2025-01-11,18:13:19
5,kaliland,Gazi,35.126225833333336,33.925425,0,0:00:26,2025-01-11,18:13:21
5,kaliland,Gazi,35.12618666666667,33.92548883333333,0,0:00:27,2025-01-11,18:13:23
5,kaliland,Gazi,35.12614933333333,33.9255505,0,0:00:28,2025-01-11,18:13:24
5,kaliland,Gazi,35.12611416666667,33.9256085,0,0:00:28,2025-01-11,18:13:26
