Bus ID,Route ID,Current Stop,Next Stop,Latitude,Longitude,Passengers,Estimated Time,Date,Time
5,Route 1,Intercity Bus Station,Sanayi,35.13184570561731,33.93511129243439,30,0:01:15,2024-12-01,12:00 AM
5,Route 1,Sanayi,City Center,35.12704937684068,33.92811076652869,50,0:01:12,2024-12-01,06:00 AM
5,Route 1,City Center,University,35.11573945576744,33.93816921894955,47,0:02:44,2024-12-01,12:00 PM
5,Route 1,University,Intercity Bus Station,35.12667416263863,33.925724983754414,50,0:03:20,2024-12-01,06:00 PM
5,Route 1,Intercity Bus Station,Sanayi,35.131551080489466,33.93012837893033,37,0:04:19,2024-12-02,12:00 AM
5,Route 1,Sanayi,City Center,35.11897133609679,33.92790385998238,48,0:03:09,2024-12-02,06:00 AM
5,Route 1,City Center,University,35.116664312528385,33.92884839138307,47,0:02:54,2024-12-02,12:00 PM
5,Route 1,University,Intercity Bus Station,35.119502748166724,33.92439030478435,39,0:04:44,2024-12-02,06:00 PM
5,Route 1,Intercity Bus Station,Sanayi,35.11452403615885,33.930177392086996,57,0:01:57,2024-12-03,12:00 AM
5,Route 1,Sanayi,City Center,35.1251830086842,33.93702416675933,39,0:01:52,2024-12-03,06:00 AM
5,Route 1,City Center,University,35.11450001377428,33.93095908785154,47,0:01:09,2024-12-03,12:00 PM
5,Route 1,University,Intercity Bus Station,35.12184350243303,33.93616582814491,60,0:01:45,2024-12-03,06:00 PM
5,Route 1,Intercity Bus Station,Sanayi,35.122519540420754,33.919384462919,30,0:01:38,2024-12-04,12:00 AM
5,Route 1,Sanayi,City Center,35.12858991718235,33.924516399217914,49,0:04:58,2024-12-04,06:00 AM
5,Route 1,City Center,University,35.12894070377482,33.92550019503892,46,0:04:30,2024-12-04,12:00 PM
5,Route 1,University,Intercity Bus Station,35.131075016252844,33.932567439777856,41,0:01:55,2024-12-04,06:00 PM
5,Route 1,Intercity Bus Station,Sanayi,35.11787083739305,33.92100202754856,45,0:03:09,2024-12-05,12:00 AM
5,Route 1,Sanayi,City Center,35.13010663292686,33.93293542535781,52,0:04:14,2024-12-05,06:00 AM
5,Route 1,City Center,University,35.13056098738092,33.92620398447532,36,0:02:13,2024-12-05,12:00 PM
5,Route 1,University,Intercity Bus Station,35.12931799176488,33.924080179973004,37,0:00:25,2024-12-05,06:00 PM
5,Route 1,Intercity Bus Station,Sanayi,35.11570053431709,33.9359406162902,36,0:02:50,2024-12-06,12:00 AM
5,Route 1,Sanayi,City Center,35.12205821218685,33.937392953053916,51,0:03:28,2024-12-06,06:00 AM
5,Route 1,City Center,University,35.12678543588373,33.931020731015614,30,0:02:52,2024-12-06,12:00 PM
5,Route 1,University,Intercity Bus Station,35.12136483461005,33.92291353540765,52,0:04:33,2024-12-06,06:00 PM
5,Route 1,Intercity Bus Station,Sanayi,35.1313243992672,33.9272241433241,49,0:04:42,2024-12-07,12:00 AM
5,Route 1,Sanayi,City Center,35.13112212654463,33.919697277486065,55,0:03:28,2024-12-07,06:00 AM
5,Route 1,City Center,University,35.13190453038228,33.92271306872231,31,0:02:52,2024-12-07,12:00 PM
5,Route 1,University,Intercity Bus Station,35.12645490521203,33.92175581057976,36,0:00:26,2024-12-07,06:00 PM
5,Route 1,Intercity Bus Station,Sanayi,35.123816235879545,33.935421982174304,37,0:04:19,2024-12-08,12:00 AM
5,Route 1,Sanayi,City Center,35.115119251273725,33.933925249663936,41,0:04:08,2024-12-08,06:00 AM
5,Route 1,City Center,University,35.11920619981985,33.9368531948333,35,0:03:01,2024-12-08,12:00 PM
5,Route 1,University,Intercity Bus Station,35.12612945612603,33.929311088615016,43,0:03:40,2024-12-08,06:00 PM
5,Route 1,Intercity Bus Station,Sanayi,35.11689767511549,33.92080306223769,49,0:00:51,2024-12-09,12:00 AM
5,Route 1,Sanayi,City Center,35.12960032697804,33.93341480088199,40,0:03:05,2024-12-09,06:00 AM
5,Route 1,City Center,University,35.13156757017344,33.920658058291004,55,0:01:34,2024-12-09,12:00 PM
5,Route 1,University,Intercity Bus Station,35.13136836496127,33.92623910383795,39,0:04:46,2024-12-09,06:00 PM
5,Route 1,Intercity Bus Station,Sanayi,35.125083681020456,33.92026958834578,49,0:02:14,2024-12-10,12:00 AM
5,Route 1,Sanayi,City Center,35.11635392523068,33.92023029301092,60,0:04:30,2024-12-10,06:00 AM
5,Route 1,City Center,University,35.13051086828926,33.92836238392207,52,0:00:44,2024-12-10,12:00 PM
5,Route 1,University,Intercity Bus Station,35.13216731631198,33.921052639571535,30,0:03:55,2024-12-10,06:00 PM
5,Route 1,Intercity Bus Station,Sanayi,35.13291450787583,33.92350614246352,56,0:01:27,2024-12-11,12:00 AM
5,Route 1,Sanayi,City Center,35.129931497445085,33.92507635279896,43,0:01:55,2024-12-11,06:00 AM
5,Route 1,City Center,University,35.12823165598233,33.92730269448496,33,0:04:17,2024-12-11,12:00 PM
5,Route 1,University,Intercity Bus Station,35.1213395606882,33.92047420448709,54,0:02:28,2024-12-11,06:00 PM
5,Route 1,Intercity Bus Station,Sanayi,35.11514381146492,33.935515344775915,59,0:02:46,2024-12-12,12:00 AM
5,Route 1,Sanayi,City Center,35.127035542749155,33.93035595932845,56,0:04:49,2024-12-12,06:00 AM
5,Route 1,City Center,University,35.11653137890466,33.937524191414155,37,0:03:27,2024-12-12,12:00 PM
5,Route 1,University,Intercity Bus Station,35.12447794815541,33.933737410989465,36,0:04:36,2024-12-12,06:00 PM
5,Route 1,Intercity Bus Station,Sanayi,35.12002837831486,33.92531685616884,36,0:01:05,2024-12-13,12:00 AM
5,Route 1,Sanayi,City Center,35.11785806594416,33.938775151522805,44,0:01:36,2024-12-13,06:00 AM
5,Route 1,City Center,University,35.12335711804936,33.922160697718496,57,0:04:43,2024-12-13,12:00 PM
5,Route 1,University,Intercity Bus Station,35.12048561749564,33.91971023348583,37,0:04:36,2024-12-13,06:00 PM
5,Route 1,Intercity Bus Station,Sanayi,35.11906955985315,33.93342541429125,34,0:04:34,2024-12-14,12:00 AM
5,Route 1,Sanayi,City Center,35.12383903600065,33.921927657388835,52,0:01:48,2024-12-14,06:00 AM
